record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp
PR001650,2026-07-26,MANDI005,Amritsar,Cotton,6850.99,7570.17,7210.58,6620.0
PR000246,2026-07-17,MANDI028,Fatehabad,Cotton,6944.79,7654.18,7299.0,
PR010091,2026-01-09,MANDI011,Jalandhar,Rice,1857.0,2013.18,1935.06,2183.0
PR000982,2026-05-24,MANDI012,Ferozepur,Maize,1873.34,1986.0,1930.0,2090.0
PR001708,2026-08-18,MANDI013,Karnal,Cotton,5878.62,6574.28,6226.45,6620.0
PR004312,2026-01-24,MANDI001,Patiala,Cotton,,7324.58,,6620.0
PR000288,2026-08-08,MANDI031,Hisar,Wheat,2270.14,2823.44,2546.79,2275.0
PR002536,2026-01-06,MANDI036,Kurukshetra,Wheat,1961.63,2340.0,2151.0,2275.0
PR009427,2026-08-12,MANDI050,Muzaffarnagar,Wheat,2277.53,2458.0,2367.64,2275.0
PR003418,2026-02-09,MANDI011,Ambala,Sugarcane,3156.94,3890.02,,3500.0
PR001250,2026-02-10,MANDI002,Ambala,Maize,1866.0,2193.0,2029.0,2090.0
PR008959,2026-06-24,MANDI057,Bareilly,Mustard,,6850.0,6290.0,5650.0
PR004344,2026-04-14,MANDI040,Amritsar,Rice,1989.02,2138.04,2063.53,2183.0
PR008040,2026-06-25,MANDI053,Ludhiana,Wheat,2016.0,2300.0,2158.4,2275.0
PR002773,2026-04-06,MANDI050,Ambala,Sugarcane,3391.89,4215.91,3804.0,3500.0
PR007582,2026-01-24,MANDI043,Ferozepur,Rice,,2521.03,2303.86,2183.0
PR001390,2026-06-17,MANDI026,Patiala,Sugarcane,3661.39,4282.71,3972.05,3500.0
PR011220,2026-01-17,MANDI010,Bathinda,Cotton,6054.0,7147.5,6601.0,6620.0
PR008656,2026-03-26,MANDI005,Patiala,Rice,2172.99,2312.15,,
PR000719,2026-04-29,,Kurukshetra,Maize,1878.0,2114.21,,2090.0
PR005849,2026-01-23,MANDI016,Patiala,Cotton,6473.0,7364.56,6918.61,6620.0
PR007394,2026-03-25,MANDI024,Karnal,Sugarcane,3074.76,3382.79,3229.0,3500.0
PR004644,2026-05-25,MANDI026,Hisar,Mustard,5725.0,6263.77,5994.46,5650.0
PR002514,2026-07-21,MANDI007,Hisar,Maize,1988.47,2299.86,2144.17,2090.0
PR010213,2026-02-17,MANDI043,Jalandhar,Wheat,1958.0,2157.0,2057.3,2275.0
PR011212,2026-05-31,MANDI008,Amritsar,Sugarcane,3280.59,4064.73,3672.66,3500.0
PR011958,2026-04-02,,Bathinda,Wheat,2215.53,2450.04,2332.79,2275.0
PR002913,2026-08-08,MANDI027,Sirsa,Mustard,5826.29,6273.0,6049.51,5650.0
PR000358,2026-01-31,MANDI030,Ludhiana,Maize,1867.38,,1949.0,2090.0
PR008575,2026-07-20,,Moga,Ganne,3509.61,4356.0,3932.8,
PR010458,2026-01-10,,Bathinda,Cotton,5627.0,6650.37,6138.93,6620.0
PR000951,2026-06-25,MANDI056,Hisar,Rice,2226.17,2525.0,2376.0,2183.0
PR002105,2026-01-20,MANDI039,Kurukshetra,Cotton,6155.47,6702.0,6428.56,6620.0
PR007951,2026-01-02,MANDI024,Kurukshetra,Maize,2174.42,2348.95,2262.0,
PR001266,2026-04-25,MANDI019,Fatehabad,Sugarcane,3500.0,4245.0,3873.0,3500.0
PR006089,2026-03-02,MANDI046,Ferozepur,Mustard,5142.95,5632.66,5387.81,5650.0
PR010862,2026-02-11,MANDI042,Ambala,Mustard,5493.83,6761.44,6127.63,5650.0
