Trip_ID	Mandi_ID	Destination_Warehouse	Departure_Time	Arrival_Time	Is_Arrival_Time_Imputed	Transit_Hours	Is_Transit_Hours_Negative_Flag	Is_Transit_Hours_Imputed	Distance	Distance_Unit	Vehicle_No	Driver_ID	Is_Driver_ID_Imputed
TRP000001	MANDI022	WH-Central	25-02-2026 12:53	25-02-2026 17:47	FALSE	4.9	FALSE	FALSE	218.8	km	HR-24-DF-8206	DRV454	FALSE
TRP000002	MANDI053	WH-West	21-04-2026 22:15	22-04-2026 11:51	FALSE	13.6	FALSE	FALSE	671.1	km	RJ-83-BC-6190	DRV817	FALSE
TRP000003	MANDI033	WH-East	12-08-2026 00:00	12-08-2026 20:30	FALSE	7.6	FALSE	FALSE	360.7	km	HR-81-DF-8884	DRV878	FALSE
TRP000004	MANDI038	WH-West	28-01-2026 14:28	28-01-2026 18:40	TRUE	4.2	FALSE	FALSE	240.3 KM			DRV516	FALSE
TRP000005	MANDI007	WH-West	18-03-2026 21:09	19-03-2026 00:00	FALSE	8.1	FALSE	FALSE	347.3	km		DRV864	FALSE
TRP000006	MANDI025	WH-North	30-04-2026 19:52	30-04-2026 23:28	TRUE	3.6	FALSE	FALSE	170.2	km		DRV134	FALSE
TRP000007	MANDI022	WH-West	13-03-2026 06:40	14-03-2026 01:40	FALSE	19	FALSE	FALSE	494.0520821	miles	PB-12-DF-5486	DRV566	FALSE
TRP000008	MANDI030	WH-South	22-06-2026 04:34	22-06-2026 21:46	TRUE	17.2	FALSE	FALSE	844.5	km	DL-10-BC-9901	DRV169	FALSE
TRP000009	MANDI050	WH-East	07-08-2026 04:47	08-08-2026 00:53	FALSE	20.1	FALSE	FALSE	1075.4	km	UP-26-CD-2471	DRV486	FALSE
TRP000010	MANDI056	Export-Terminal	02-05-2026 07:23	02-05-2026 15:23	FALSE	8	FALSE	FALSE	378.3	km	RJ-74-CD-5670	UNASSIGNED	TRUE
TRP000011	MANDI049	WH-South	31-01-2026 00:03	31-01-2026 15:21	FALSE	15.3	FALSE	FALSE	915.7	km	HR-98-AB-4542	DRV962	FALSE
TRP000012	MANDI054	WH-West	05-06-2026 21:52	06-06-2026 12:22	FALSE	14.5	FALSE	FALSE	854.2	km	HR-90-BC-5255	DRV137	FALSE
TRP000013	MANDI004	Export-Terminal	12-07-2026 21:52	13-07-2026 06:40	FALSE	8.8	FALSE	FALSE	354.7	km	DL-99-DF-7094	DRV762	FALSE
TRP000014	MANDI013	WH-West	15-06-2026 22:15	16-06-2026 11:33	FALSE	13.3	FALSE	FALSE	476.9643796	miles	PB-72-BC-7175	DRV857	FALSE
TRP000015	MANDI037	WH-North	03-03-2026 00:00	03-03-2026 11:19	FALSE	2.1	FALSE	FALSE	98.6	km	UP-69-AB-2874	UNASSIGNED	TRUE
TRP000016	MANDI055	WH-Central	01-07-2026 02:13	01-07-2026 18:25	FALSE	16.2	FALSE	FALSE	718.9	km		DRV935	FALSE
TRP000017	MANDI002	Export-Terminal	12-07-2026 15:43	13-07-2026 14:43	FALSE	23	FALSE	FALSE	1379	km	HR-47-CD-6280	DRV334	FALSE
TRP000018	MANDI022	WH-North	13-06-2026 05:46	14-06-2026 02:34	FALSE	20.8	FALSE	FALSE	1144.2 KM			DRV658	FALSE
TRP000019	MANDI046	WH-North	02-02-2026 16:08	03-02-2026 13:32	FALSE	21.4	TRUE	FALSE	896.3 KM		RJ-13-BC-6915	DRV915	FALSE
TRP000020	MANDI036	WH-Central	04-07-2026 11:40	04-07-2026 15:46	FALSE	4.09	FALSE	TRUE	222.9	km	HR-76-DF-7435	DRV124	FALSE
TRP000021	MANDI050	WH-South	10-05-2026 16:27	11-05-2026 12:21	FALSE	19.9	FALSE	FALSE	1044.3	km	RJ-54-DF-3193	DRV246	FALSE
TRP000022	MANDI037	WH-East	23-06-2026 11:12	24-06-2026 08:42	FALSE	21.5	FALSE	FALSE	944.4	km	PB-34-DF-2418	DRV490	FALSE
TRP000023	MANDI022	Export-Terminal	28-08-2026 17:59	29-08-2026 06:47	FALSE	12.8	FALSE	FALSE	625.9	km	RJ-72-AB-3993	DRV798	FALSE
TRP000024	MANDI026	WH-South	15-01-2026 07:14	15-01-2026 23:32	FALSE	16.3	FALSE	FALSE	770.1	km	HR-35-AB-5451	DRV615	FALSE
TRP000025	MANDI026	WH-Central	18-07-2026 16:33	18-07-2026 19:09	TRUE	2.6	FALSE	FALSE	69.1585923	miles	DL-86-BC-9195	DRV870	FALSE
TRP000026	MANDI012	Export-Terminal	04-08-2026 14:19	04-08-2026 16:43	FALSE	2.4	FALSE	FALSE	115.2	km	RJ-53-CD-4074	DRV711	FALSE
TRP000027	MANDI012	WH-South	09-06-2026 03:07	09-06-2026 22:55	FALSE	19.8	FALSE	FALSE	910.8	km	UP-30-BC-8937	DRV358	FALSE
TRP000028	MANDI036	WH-South	13-08-2026 01:02	13-08-2026 20:02	TRUE	19	FALSE	FALSE	1049.9	km	RJ-25-AB-7225	DRV716	FALSE
TRP000029	MANDI019	WH-Central	18-07-2026 06:37	19-07-2026 05:13	FALSE	22.6	FALSE	FALSE	1315.1	km	HR-88-DF-2151	DRV166	FALSE
TRP000030	MANDI054	WH-North	13-04-2026 20:09	14-04-2026 05:39	FALSE	9.5	FALSE	FALSE	453.7	km	DL-25-AB-1514	UNASSIGNED	TRUE
TRP000031	MANDI023	Export-Terminal	16-08-2026 08:45	17-08-2026 00:00	FALSE	22.7	FALSE	FALSE	785.3508069	miles	RJ-57-CD-7952	DRV124	FALSE
TRP000032	MANDI023	WH-West	28-07-2026 00:00	28-07-2026 17:44	FALSE	14.4	FALSE	FALSE	632.8 KM		HR-83-AB-7638	DRV294	FALSE
TRP000033	MANDI044	WH-North	16-02-2026 00:00	16-02-2026 18:31	FALSE	18	FALSE	FALSE	768.3	km	PB-19-AB-8250	DRV101	FALSE
TRP000034	MANDI057	WH-West	13-08-2026 05:21	13-08-2026 14:15	FALSE	8.9	FALSE	FALSE	437.5	km	DL-65-AB-3380	DRV761	FALSE
TRP000035	MANDI032	Export-Terminal	18-06-2026 21:59	19-06-2026 13:53	FALSE	15.9	FALSE	FALSE	849.6	km	HR-55-AB-6191	DRV324	FALSE
TRP000036	MANDI042	WH-Central	13-08-2026 06:21	14-08-2026 00:00	FALSE	19.7	FALSE	FALSE	1070.7	km	RJ-52-CD-3274	DRV103	FALSE
TRP000037	MANDI040	WH-East	09-04-2026 16:07		FALSE		FALSE	FALSE	651.3832193	miles	RJ-19-AB-9226	DRV196	FALSE
TRP000038	MANDI056	WH-North	15-02-2026 03:17	15-02-2026 00:00	FALSE	19.5	FALSE	FALSE	1022.5	km	DL-50-BC-9760	UNASSIGNED	TRUE
TRP000039	MANDI032	WH-South	16-03-2026 18:07	17-03-2026 05:01	FALSE	10.9	FALSE	FALSE	438.6 KM		RJ-32-DF-8089	UNASSIGNED	TRUE
TRP000040	MANDI006	WH-South	24-01-2026 07:05	24-01-2026 22:23	FALSE	15.31	FALSE	TRUE	877.8	km	UP-24-BC-3811	DRV670	FALSE
TRP000041	MANDI051	Export-Terminal	23-08-2026 01:49	23-08-2026 21:49	FALSE	20	FALSE	FALSE	1196	km	DL-14-AB-6529	DRV687	FALSE
TRP000042	MANDI036	WH-South	04-01-2026 01:46	04-01-2026 16:34	FALSE	14.8	FALSE	FALSE	790	km	UP-18-DF-9882	DRV470	FALSE
TRP000043	MANDI012	WH-North	03-01-2026 18:47	03-01-2026 21:59	FALSE	3.2	FALSE	FALSE	113.5244817	miles	PB-31-AB-8688	DRV291	FALSE
TRP000044	MANDI045	WH-South	17-05-2026 00:00	17-05-2026 02:54	TRUE	2.9	FALSE	FALSE	135.3	km	PB-17-DF-1019	DRV549	FALSE
