sensor_id,is_sensor_unknown,timestamp,timestamp_tz,is_timestamp_missing,reported_temperature,reported_temperature_unit,temperature_c,reported_rainfall,reported_rainfall_unit,is_rainfall_negative_flag,rainfall_mm,humidity_percent
SEN047,False,2026-08-28 00:00:00,unspecified,False,68.0,Fahrenheit,20.0,43.8,Millimeter,False,43.8,46.0
SEN034,False,2026-07-03 07:08:18,IST,False,85.3,Fahrenheit,29.61,1.88,Inch,False,47.75,55.0
SEN020,False,,unspecified,True,18.9,Celsius,18.9,19.9,Millimeter,False,19.9,
SEN035,False,2026-07-09 16:38:41,UTC,False,71.8,Fahrenheit,22.11,0.91,Inch,False,23.11,49.0
SEN048,False,2026-06-09 13:06:26,IST,False,39.8,Celsius,39.8,43.9,Millimeter,False,43.9,81.0
SEN035,False,2026-03-17 00:00:00,unspecified,False,21.8,Celsius,21.8,28.9,Millimeter,False,28.9,47.0
SEN013,False,2026-07-01 17:48:00,unspecified,False,75.0,Fahrenheit,23.89,32.4,Millimeter,False,32.4,43.0
SEN040,False,2026-06-12 09:52:51,IST,False,92.5,Fahrenheit,33.61,,,False,,92.0
SEN027,False,2026-06-02 21:30:04,UTC,False,22.1,Celsius,22.1,48.1,Millimeter,True,48.1,36.0
SEN034,False,,unspecified,True,30.3,Celsius,30.3,,,False,,51.0
SEN031,False,2026-08-23 07:42:11,IST,False,16.6,Celsius,16.6,32.4,Millimeter,False,32.4,38.0
SEN045,False,2026-09-08 20:15:54,UTC,False,102.2,Fahrenheit,39.0,42.1,Millimeter,False,42.1,41.0
SEN011,False,2026-03-26 05:22:33,UTC,False,29.9,Celsius,29.9,16.2,Millimeter,False,16.2,32.0
SEN004,False,2026-08-27 16:59:00,unspecified,False,66.9,Fahrenheit,19.39,42.3,Millimeter,False,42.3,35.0
SEN020,False,2026-02-02 07:59:44,IST,False,73.2,Fahrenheit,22.89,16.0,Millimeter,False,16.0,
SEN026,False,2026-03-21 17:36:58,UTC,False,102.4,Fahrenheit,39.11,13.7,Millimeter,False,13.7,80.0
SEN020,False,2026-09-07 16:45:42,IST,False,67.6,Fahrenheit,19.78,42.0,Millimeter,True,42.0,39.0
SEN047,False,2026-04-09 22:54:04,UTC,False,29.8,Celsius,29.8,45.0,Millimeter,False,45.0,53.0
SEN035,False,2026-08-30 05:45:31,IST,False,31.8,Celsius,31.8,7.3,Millimeter,True,7.3,52.0
UNKNOWN,True,2026-07-28 05:02:48,unspecified,False,29.1,Celsius,29.1,34.3,Millimeter,False,34.3,75.0
SEN032,False,2026-02-07 14:24:43,UTC,False,31.3,Celsius,31.3,6.2,Millimeter,False,6.2,38.0
SEN046,False,2026-02-22 21:45:12,IST,False,30.0,Celsius,30.0,1.6,Millimeter,False,1.6,86.0
SEN021,False,2026-03-10 23:45:39,unspecified,False,24.6,Celsius,24.6,15.9,Millimeter,True,15.9,80.0
SEN042,False,2026-04-02 05:04:58,IST,False,97.9,Fahrenheit,36.61,0.23,Inch,False,5.84,63.0
SEN042,False,,unspecified,True,60.3,Fahrenheit,15.72,,,False,,89.0
SEN043,False,2026-03-01 21:08:44,UTC,False,37.8,Celsius,37.8,,,False,,44.0
SEN042,False,2026-07-07 09:27:47,IST,False,33.4,Celsius,33.4,0.78,Inch,False,19.81,38.0
SEN013,False,2026-05-23 18:27:41,IST,False,28.3,Celsius,28.3,12.4,Millimeter,False,12.4,56.0
SEN021,False,2026-02-26 00:53:43,UTC,False,28.4,Celsius,28.4,32.5,Millimeter,False,32.5,78.0
SEN049,False,2026-04-24 18:47:44,IST,False,33.6,Celsius,33.6,7.2,Millimeter,False,7.2,80.0
SEN006,False,2026-01-02 09:31:50,IST,False,21.7,Celsius,21.7,7.2,Millimeter,False,7.2,82.0
SEN041,False,,unspecified,True,82.8,Fahrenheit,28.22,26.3,Millimeter,True,26.3,33.0
SEN035,False,2026-05-05 08:58:20,UTC,False,37.6,Celsius,37.6,28.4,Millimeter,False,28.4,48.0
SEN050,False,2026-02-09 18:25:06,IST,False,68.9,Fahrenheit,20.5,21.5,Millimeter,False,21.5,40.0
SEN002,False,2026-07-06 09:59:39,UTC,False,95.2,Fahrenheit,35.11,40.2,Millimeter,True,40.2,73.0
SEN007,False,2026-08-20 02:38:23,UTC,False,23.1,Celsius,23.1,1.84,Inch,False,46.74,62.0
SEN005,False,,unspecified,True,91.4,Fahrenheit,33.0,1.58,Inch,False,40.13,80.0
SEN029,False,2026-05-13 09:02:20,UTC,False,82.4,Fahrenheit,28.0,0.67,Inch,False,17.02,94.0
SEN022,False,2026-06-08 02:36:11,UTC,False,70.5,Fahrenheit,21.39,0.57,Inch,False,14.48,60.0
SEN015,False,2026-02-21 12:03:50,unspecified,False,78.4,Fahrenheit,25.78,14.9,Millimeter,False,14.9,87.0
SEN012,False,2026-03-15 12:51:07,UTC,False,59.9,Fahrenheit,15.5,1.28,Inch,False,32.51,94.0
SEN029,False,2026-01-31 20:48:03,IST,False,71.4,Fahrenheit,21.89,,,False,,69.0
SEN043,False,2026-08-23 15:21:41,IST,False,33.6,Celsius,33.6,27.4,Millimeter,False,27.4,76.0
SEN023,False,2026-04-13 21:50:56,UTC,False,18.4,Celsius,18.4,1.7,Inch,False,43.18,50.0
SEN038,False,,unspecified,True,23.7,Celsius,23.7,45.5,Millimeter,False,45.5,92.0
SEN010,False,,unspecified,True,72.5,Fahrenheit,22.5,11.4,Millimeter,False,11.4,80.0
UNKNOWN,True,2026-04-05 19:00:02,UTC,False,30.9,Celsius,30.9,1.01,Inch,False,25.65,
SEN003,False,2026-06-01 20:19:00,unspecified,False,79.9,Fahrenheit,26.61,29.4,Millimeter,False,29.4,47.0
SEN046,False,2026-05-19 11:48:45,UTC,False,29.3,Celsius,29.3,15.0,Millimeter,True,15.0,36.0
SEN016,False,,unspecified,True,26.7,Celsius,26.7,5.2,Millimeter,False,5.2,89.0
SEN034,False,2026-04-13 08:56:28,IST,False,39.9,Celsius,39.9,1.08,Inch,False,27.43,59.0
SEN002,False,,unspecified,True,22.7,Celsius,22.7,1.92,Inch,False,48.77,57.0
SEN017,False,2026-05-30 20:03:23,UTC,False,19.6,Celsius,19.6,2.7,Millimeter,True,2.7,77.0
UNKNOWN,True,2026-08-09 08:09:44,UTC,False,74.1,Fahrenheit,23.39,10.6,Millimeter,False,10.6,52.0
UNKNOWN,True,2026-01-16 04:29:54,unspecified,False,23.1,Celsius,23.1,0.99,Inch,False,25.15,59.0
SEN043,False,2026-08-12 16:58:44,unspecified,False,101.7,Fahrenheit,38.72,0.07,Inch,False,1.78,44.0
SEN035,False,2026-06-25 06:49:35,IST,False,38.6,Celsius,38.6,3.7,Millimeter,False,3.7,32.0
SEN047,False,2026-08-18 07:10:40,IST,False,21.5,Celsius,21.5,19.2,Millimeter,False,19.2,84.0
SEN004,False,,unspecified,True,38.6,Celsius,38.6,4.3,Millimeter,False,4.3,85.0
SEN041,False,2026-06-19 03:04:08,IST,False,35.6,Celsius,35.6,1.7,Inch,False,43.18,37.0
SEN020,False,2026-05-15 01:02:31,UTC,False,31.2,Celsius,31.2,1.3,Inch,False,33.02,94.0
SEN030,False,2026-05-22 15:40:01,UTC,False,19.8,Celsius,19.8,19.7,Millimeter,True,19.7,72.0
SEN023,False,2026-01-13 17:04:32,UTC,False,35.8,Celsius,35.8,28.0,Millimeter,False,28.0,58.0
SEN009,False,2026-07-16 03:33:55,UTC,False,24.8,Celsius,24.8,0.8,Millimeter,False,0.8,81.0
SEN044,False,,unspecified,True,63.1,Fahrenheit,17.28,16.4,Millimeter,False,16.4,82.0
SEN041,False,2026-07-30 10:15:00,unspecified,False,84.9,Fahrenheit,29.39,1.96,Inch,False,49.78,91.0
SEN027,False,2026-05-27 13:43:39,UTC,False,23.0,Celsius,23.0,17.8,Millimeter,False,17.8,55.0
