Mandi_ID,Mandi_Name,Price_Risk_Score,Supply_Pressure_Score,Transport_Risk_Score,Priority_Score,Priority_Rank,Priority_Level,Recommendation_Reason,Recommended_Action
MANDI047,Orai Market,88.00976800976801,89.47462812880947,97.6569608735214,90.37866461823111,1,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI004,Khandwa Grain Market,98.07692307692308,78.90813199489392,81.90619621342515,89.09214037961473,2,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI044,Dehri Mandi,95.5542095699576,91.17910745259692,69.36953352769679,89.00474372629724,3,Critical,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI041,Gurgaon Grain Market,89.28956393924548,88.12206358446895,84.24254317111462,87.92990967918635,4,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI035,Guntakal Mandi,87.9375696767001,89.41117903868066,84.29517502365185,87.65117355468462,5,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI011,Arrah Mandi,78.0711825487945,100.0,92.35412474849096,87.50641622409543,6,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI027,Kochi APMC,94.30119176598048,80.89703600978807,79.4740973312402,87.31452615217471,7,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI050,Durg Market,84.03530895334174,92.04297960338114,86.30623520126284,86.89179539793778,8,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI033,South Dumdum Grain Market,88.24699110413397,82.29438421305494,86.78571428571429,86.16895367312632,9,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI025,Dindigul APMC,83.13805399898115,86.693508964632,92.92207792207792,86.16149527329577,10,Critical,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI022,Eluru APMC,84.009324009324,84.87910568926034,91.27196333078686,85.72278637759747,11,High,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI046,Baranagar Market,100.0,69.39270206042458,73.86018237082067,85.5898470922915,12,High,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
MANDI014,Bathinda Grain Market,95.77464788732394,69.39336103911916,81.14111498257842,84.93355525191339,13,High,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
