date,district,avg_temp_c,total_rain_mm,avg_humidity,sensor_count,District,State,Mandi_ID,Mandi_Type
2026-01-01,Unknown,27.891607142857143,1223.88,62.79545454545455,36,Unknown,Punjab,MANDI017,PRIVATE
2026-01-01,Unknown,27.891607142857143,1223.88,62.79545454545455,36,Unknown,Haryana,MANDI032,PRIVATE
2026-01-01,Unknown,27.891607142857143,1223.88,62.79545454545455,36,Unknown,Haryana,MANDI039,APMC
2026-01-01,Unknown,27.891607142857143,1223.88,62.79545454545455,36,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-02,Unknown,27.595806451612905,1439.83,65.43636363636364,37,Unknown,Punjab,MANDI017,PRIVATE
2026-01-02,Unknown,27.595806451612905,1439.83,65.43636363636364,37,Unknown,Haryana,MANDI032,PRIVATE
2026-01-02,Unknown,27.595806451612905,1439.83,65.43636363636364,37,Unknown,Haryana,MANDI039,APMC
2026-01-02,Unknown,27.595806451612905,1439.83,65.43636363636364,37,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-03,Unknown,25.007,1389.44,59.0,36,Unknown,Punjab,MANDI017,PRIVATE
2026-01-03,Unknown,25.007,1389.44,59.0,36,Unknown,Haryana,MANDI032,PRIVATE
2026-01-03,Unknown,25.007,1389.44,59.0,36,Unknown,Haryana,MANDI039,APMC
2026-01-03,Unknown,25.007,1389.44,59.0,36,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-04,Unknown,29.244736842105265,1407.31,66.28846153846153,36,Unknown,Punjab,MANDI017,PRIVATE
2026-01-04,Unknown,29.244736842105265,1407.31,66.28846153846153,36,Unknown,Haryana,MANDI032,PRIVATE
2026-01-04,Unknown,29.244736842105265,1407.31,66.28846153846153,36,Unknown,Haryana,MANDI039,APMC
2026-01-04,Unknown,29.244736842105265,1407.31,66.28846153846153,36,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-05,Unknown,28.708421052631582,1342.45,61.39622641509434,28,Unknown,Punjab,MANDI017,PRIVATE
2026-01-05,Unknown,28.708421052631582,1342.45,61.39622641509434,28,Unknown,Haryana,MANDI032,PRIVATE
2026-01-05,Unknown,28.708421052631582,1342.45,61.39622641509434,28,Unknown,Haryana,MANDI039,APMC
2026-01-05,Unknown,28.708421052631582,1342.45,61.39622641509434,28,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-06,Unknown,27.06,1258.49,61.90384615384615,37,Unknown,Punjab,MANDI017,PRIVATE
2026-01-06,Unknown,27.06,1258.49,61.90384615384615,37,Unknown,Haryana,MANDI032,PRIVATE
2026-01-06,Unknown,27.06,1258.49,61.90384615384615,37,Unknown,Haryana,MANDI039,APMC
2026-01-06,Unknown,27.06,1258.49,61.90384615384615,37,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-07,Unknown,27.70865671641791,1474.9,59.46666666666667,38,Unknown,Punjab,MANDI017,PRIVATE
2026-01-07,Unknown,27.70865671641791,1474.9,59.46666666666667,38,Unknown,Haryana,MANDI032,PRIVATE
2026-01-07,Unknown,27.70865671641791,1474.9,59.46666666666667,38,Unknown,Haryana,MANDI039,APMC
2026-01-07,Unknown,27.70865671641791,1474.9,59.46666666666667,38,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-08,Unknown,27.30666666666667,1139.72,70.23809523809524,34,Unknown,Punjab,MANDI017,PRIVATE
2026-01-08,Unknown,27.30666666666667,1139.72,70.23809523809524,34,Unknown,Haryana,MANDI032,PRIVATE
2026-01-08,Unknown,27.30666666666667,1139.72,70.23809523809524,34,Unknown,Haryana,MANDI039,APMC
2026-01-08,Unknown,27.30666666666667,1139.72,70.23809523809524,34,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-09,Unknown,28.282807017543856,1131.33,59.64705882352941,31,Unknown,Punjab,MANDI017,PRIVATE
2026-01-09,Unknown,28.282807017543856,1131.33,59.64705882352941,31,Unknown,Haryana,MANDI032,PRIVATE
2026-01-09,Unknown,28.282807017543856,1131.33,59.64705882352941,31,Unknown,Haryana,MANDI039,APMC
2026-01-09,Unknown,28.282807017543856,1131.33,59.64705882352941,31,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-10,Unknown,29.039622641509432,1274.99,59.61702127659574,29,Unknown,Punjab,MANDI017,PRIVATE
2026-01-10,Unknown,29.039622641509432,1274.99,59.61702127659574,29,Unknown,Haryana,MANDI032,PRIVATE
2026-01-10,Unknown,29.039622641509432,1274.99,59.61702127659574,29,Unknown,Haryana,MANDI039,APMC
2026-01-10,Unknown,29.039622641509432,1274.99,59.61702127659574,29,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-11,Unknown,25.410847457627117,1354.02,62.74545454545454,35,Unknown,Punjab,MANDI017,PRIVATE
2026-01-11,Unknown,25.410847457627117,1354.02,62.74545454545454,35,Unknown,Haryana,MANDI032,PRIVATE
2026-01-11,Unknown,25.410847457627117,1354.02,62.74545454545454,35,Unknown,Haryana,MANDI039,APMC
2026-01-11,Unknown,25.410847457627117,1354.02,62.74545454545454,35,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-12,Unknown,26.53439024390244,981.37,58.270270270270274,28,Unknown,Punjab,MANDI017,PRIVATE
2026-01-12,Unknown,26.53439024390244,981.37,58.270270270270274,28,Unknown,Haryana,MANDI032,PRIVATE
2026-01-12,Unknown,26.53439024390244,981.37,58.270270270270274,28,Unknown,Haryana,MANDI039,APMC
2026-01-12,Unknown,26.53439024390244,981.37,58.270270270270274,28,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-13,Unknown,27.07,1254.0,59.91304347826087,31,Unknown,Punjab,MANDI017,PRIVATE
2026-01-13,Unknown,27.07,1254.0,59.91304347826087,31,Unknown,Haryana,MANDI032,PRIVATE
2026-01-13,Unknown,27.07,1254.0,59.91304347826087,31,Unknown,Haryana,MANDI039,APMC
2026-01-13,Unknown,27.07,1254.0,59.91304347826087,31,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-14,Unknown,26.357307692307693,1174.43,59.97674418604651,34,Unknown,Punjab,MANDI017,PRIVATE
2026-01-14,Unknown,26.357307692307693,1174.43,59.97674418604651,34,Unknown,Haryana,MANDI032,PRIVATE
2026-01-14,Unknown,26.357307692307693,1174.43,59.97674418604651,34,Unknown,Haryana,MANDI039,APMC
2026-01-14,Unknown,26.357307692307693,1174.43,59.97674418604651,34,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-15,Unknown,27.168518518518518,1078.41,66.16666666666667,35,Unknown,Punjab,MANDI017,PRIVATE
2026-01-15,Unknown,27.168518518518518,1078.41,66.16666666666667,35,Unknown,Haryana,MANDI032,PRIVATE
2026-01-15,Unknown,27.168518518518518,1078.41,66.16666666666667,35,Unknown,Haryana,MANDI039,APMC
2026-01-15,Unknown,27.168518518518518,1078.41,66.16666666666667,35,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-16,Unknown,28.75103448275862,1391.63,61.470588235294116,33,Unknown,Punjab,MANDI017,PRIVATE
2026-01-16,Unknown,28.75103448275862,1391.63,61.470588235294116,33,Unknown,Haryana,MANDI032,PRIVATE
2026-01-16,Unknown,28.75103448275862,1391.63,61.470588235294116,33,Unknown,Haryana,MANDI039,APMC
2026-01-16,Unknown,28.75103448275862,1391.63,61.470588235294116,33,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-17,Unknown,29.84844827586207,1586.61,63.716981132075475,32,Unknown,Punjab,MANDI017,PRIVATE
2026-01-17,Unknown,29.84844827586207,1586.61,63.716981132075475,32,Unknown,Haryana,MANDI032,PRIVATE
2026-01-17,Unknown,29.84844827586207,1586.61,63.716981132075475,32,Unknown,Haryana,MANDI039,APMC
2026-01-17,Unknown,29.84844827586207,1586.61,63.716981132075475,32,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-18,Unknown,27.929722222222225,923.37,69.125,23,Unknown,Punjab,MANDI017,PRIVATE
2026-01-18,Unknown,27.929722222222225,923.37,69.125,23,Unknown,Haryana,MANDI032,PRIVATE
2026-01-18,Unknown,27.929722222222225,923.37,69.125,23,Unknown,Haryana,MANDI039,APMC
2026-01-18,Unknown,27.929722222222225,923.37,69.125,23,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-19,Unknown,26.927966101694917,1415.28,56.339622641509436,32,Unknown,Punjab,MANDI017,PRIVATE
2026-01-19,Unknown,26.927966101694917,1415.28,56.339622641509436,32,Unknown,Haryana,MANDI032,PRIVATE
2026-01-19,Unknown,26.927966101694917,1415.28,56.339622641509436,32,Unknown,Haryana,MANDI039,APMC
2026-01-19,Unknown,26.927966101694917,1415.28,56.339622641509436,32,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-20,Unknown,28.399814814814814,1187.59,62.13725490196079,33,Unknown,Punjab,MANDI017,PRIVATE
2026-01-20,Unknown,28.399814814814814,1187.59,62.13725490196079,33,Unknown,Haryana,MANDI032,PRIVATE
2026-01-20,Unknown,28.399814814814814,1187.59,62.13725490196079,33,Unknown,Haryana,MANDI039,APMC
2026-01-20,Unknown,28.399814814814814,1187.59,62.13725490196079,33,Unknown,Uttar Pradesh,MANDI046,PRIVATE
2026-01-21,Unknown,25.692156862745097,1256.76,61.55813953488372,32,Unknown,Punjab,MANDI017,PRIVATE
