date,Mandi_ID,Crop,Min_Price,Max_Price,Modal_Price,MSP,Mandi_Name,District,State,Mandi_Type,Total_Area_Acres,Avg_Temperature_C,Total_Rainfall_mm,Avg_Humidity,Sensor_Count,Price_Crash,Total_Arrivals_Qtl,Farmer_Count,Arrival_Records,Price_Risk_Score,Supply_Pressure_Score,Transport_Risk_Score,Priority_Score
2026-01-01,MANDI001,Cotton,6314.0,7889.0,,6620.0,Hyderabad Mandi,Ludhiana,Punjab,PRIVATE,11.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,76.54784240150093,81.7397710742715,69.3609022556391,76.66803297415973
2026-01-01,MANDI003,Rice,,2495.95,2248.0,,Vijayawada Mandi,Ludhiana,Punjab,APMC,19.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,88.71384615384615,76.75115842536506,71.49014778325123,81.68030016118284
2026-01-01,MANDI004,Cotton,6673.83,7825.48,7249.66,6620.0,Khandwa Grain Market,Ludhiana,Punjab,APMC,15.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,98.07692307692307,78.90813199489392,81.90619621342515,89.09214037961473
2026-01-01,MANDI004,Wheat,1997.69,,2063.64,2275.0,Khandwa Grain Market,Ludhiana,Punjab,APMC,15.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,98.07692307692307,78.90813199489392,81.90619621342515,89.09214037961473
2026-01-01,MANDI005,Cotton,6102.2,6418.63,,6620.0,Bhilwara Grain Market,Amritsar,Punjab,DIRECT,29.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,83.99775407074677,82.66277263917692,73.57555739058628,81.51282030524371
2026-01-01,MANDI008,Mustard,5579.67,6616.0,6097.65,5650.0,Bijapur Market,Amritsar,Punjab,APMC,23.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,85.34412955465586,68.61959526525743,79.2091836734694,79.09978009159904
2026-01-01,MANDI009,Maize,1788.2,2101.34,1944.77,2090.0,Jamshedpur APMC,Jalandhar,Punjab,APMC,28.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,131.6,36.0,1.0,71.97538461538461,83.51712234062234,60.04043126684637,73.05091526324829
2026-01-01,MANDI012,Maize,2079.0,2556.57,2317.85,2090.0,Gaya Grain Market,Patiala,Punjab,APMC,48.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,77.61786600496276,72.95716909036163,89.140365448505,78.52415681929088
2026-01-01,MANDI013,Mustard,4929.0,5885.86,,5650.0,Aurangabad Market,Patiala,Punjab,PRIVATE,25.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,77.49287749287748,65.59098694520264,71.84873949579833,72.7934827291592
2026-01-01,MANDI013,Rice,2143.43,2647.41,2395.42,2183.0,Aurangabad Market,Patiala,Punjab,PRIVATE,25.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,77.49287749287748,65.59098694520264,71.84873949579833,72.7934827291592
2026-01-01,MANDI014,Cotton,5814.74,6282.51,6048.62,6620.0,Bathinda Grain Market,Patiala,Punjab,PRIVATE,25.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,95.77464788732394,69.39336103911916,81.14111498257842,84.93355525191339
2026-01-01,MANDI014,Rice,2215.53,2460.0,2337.57,2183.0,Bathinda Grain Market,Patiala,Punjab,PRIVATE,25.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,95.77464788732394,69.39336103911916,81.14111498257842,84.93355525191339
2026-01-01,MANDI015,Mustard,5614.525,6434.0,6024.4,5650.0,Amravati Grain Market,Bathinda,Punjab,APMC,13.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,74.29208472686733,68.7356914985172,77.02874049027896,73.17249791104462
2026-01-01,MANDI015,Wheat,2295.14,2821.13,2558.0,2275.0,Amravati Grain Market,Bathinda,Punjab,APMC,13.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,74.29208472686733,68.7356914985172,77.02874049027896,73.17249791104462
2026-01-01,MANDI017,Mustard,5912.47,6254.71,6083.59,5650.0,Parbhani Market,Unknown,Punjab,PRIVATE,8.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,441.74,108.0,1.0,84.29441062534588,80.21724901786989,80.62060889929742,82.33650179789339
2026-01-01,MANDI017,Rice,2238.0,2355.22,2296.84,2183.0,Parbhani Market,Unknown,Punjab,PRIVATE,8.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,84.29441062534588,80.21724901786989,80.62060889929742,82.33650179789339
