arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count
ARR0012424,6/4/2026,MANDI026,गेहूं,Hybrid,44.841,T,128
ARR0008271,6/2/2026,MANDI014,Gehun,HD-2967,332.54,Qtl,33
ARR0022724,8/16/2026,56,Kanak,HD-2967,415.88 qtl,,NA
ARR0012573,6/24/2026,MANDI019,Maize,,-107.13,KG,112
ARR0012098,09.08.2026,mandi050,Corn,Premium,-331.59,Qtl,NA
ARR0013701,3/31/2026,mandi_049,Ganne,Local,119.93,Q,105
ARR0010753,10/7/2026,MANDI-054,Kapas,HD-2967,187.68,qtl,45
ARR0022123,15/07/2026,MANDI045,Sarso,Hybrid,393.67 qtl,,24
ARR0003275,4/8/2026,mandi029,Sarson,PBW-343,14.84,Quintals,129
ARR0002542,8/14/2026,MANDI010,Mustard,Pusa-1121,93.28,qtl,109
ARR0016719,5/25/2026,mandi_044,Maize,PBW-343,3.837,tonnes,80
ARR0019527,2/8/2026,MANDI042,corn,HD-2967,17077,kg,26
ARR0009636,31/03/2026,MANDI-056,corn,HD-2967,37.3,quintal,NA
ARR0010366,16/01/2026,MANDI011,Ganne,Pusa-1121,44.83,Q,65
ARR0005837,27.06.2026,25,GEHUN,,45.474,tonnes,NA
ARR0002387,18.01.2026,MANDI050,Ganne,HD-2967,1518,KGS,NA
ARR0024112,8/9/2026,MANDI006,सरसों,,34.63,quintal,102
ARR0010546,1/9/2026,MANDI039,Kanak,,41.577,MT,139
ARR0002154,3/20/2026,MANDI-001,Basmati,HD-2967,39646,kg,61
ARR0020380,6/3/2026,MANDI028,mustard,Pusa-1121,99.87,Quintals,NA
ARR0021641,15-Aug-26,mandi_045,Sarso,HD-2967,39119,KGS,41
ARR0004098,25-Mar-26,MANDI-027,cotton,Pusa-1121,111.01,Qtl,137
,18.06.2026,MANDI026,मक्का,Pusa-1121,264.38,Qtl,96
ARR0006088,12-Aug-26,MANDI019,Ganne,HD-2967,373.93,Quintals,121
ARR0021143,30.04.2026,MANDI024,सरसों,Premium,7049,Kgs,7
ARR0019959,21/08/2026,MANDI022,Makka,PBW-343,38.343,Tonnes,85
ARR0001442,5/31/2026,MANDI044,paddy,Local,113.89,Qtl,97
ARR0004480,08.04.2026,M045,Wheat,Local,15910,kg,102
ARR0021197,28-Aug-26,21,sugarcane,Hybrid,197.48,qtl,NA
ARR0020628,12-Jun-26,MANDI-012,sugarcane,PBW-343,35053,Kilo,71
ARR0001665,30.07.2026,MANDI055,Chawal,Local,406.67,Quintals,NA
ARR0002938,4-Jul-26,mandi_016,GEHUN,,162.36,qtl,114
ARR0019350,25/03/2026,mandi_001,गेहूं,Premium,19.073,MT,NA
ARR0020205,7/5/2026,MANDI037,Makka,Hybrid,7347,Kgs,17
ARR0015292,7/15/2026,MANDI037,wheat,PBW-343,"36,654.0 KG",,53
ARR0019616,10/4/2026,MANDI008,Corn,Hybrid,82.61,qtl,NA
ARR0022884,12.05.2026,MANDI047,मक्का,,194.32,Quintals,33
ARR0003230,4/3/2026,M051,सरसों,PBW-343,38.055,MT,6
ARR0003266,24-Apr-26,MANDI-023,Ganna,,97.11,qtl,17
ARR0023966,3/3/2026,MANDI017,Sarso,PBW-343,15999,Kilo,125
ARR0017190,1/8/2026,mandi_002,cotton,PBW-343,"22,697.0 KG",,73
ARR0003048,1/24/2026,MANDI016,Cotton,Premium,7845,KGS,54
ARR0013641,18/03/2026,MANDI-018,Sarso,Premium,342.39,Qtl,143
ARR0019876,7/12/2026,MANDI054,Basmati,,32227,Kgs,127
ARR0018787,8/8/2026,mandi_044,paddy,Pusa-1121,336.73 qtl,,69
ARR0020778,08.03.2026,MANDI024,mustard,HD-2967,12790,Kilo,113
ARR0002765,2/28/2026,mandi013,Sarson,Premium,361.74,Q,62
ARR0014145,1/31/2026,MANDI006,Ganna,Pusa-1121,469.92,qtl,18
ARR0023854,6/5/2026,MANDI007,sugarcane,,-177.05,KG,46
ARR0012859,3/20/2026,57,Cotton,PBW-343,34.129,T,NA
ARR0023766,2/2/2026,mandi_025,धान,HD-2967,17588,Kgs,88
ARR0009572,10.05.2026,MANDI-041,Makka,Premium,17.603,T,38
ARR0021131,4/24/2026,MANDI040,corn,Hybrid,309.07 qtl,,146
ARR0022207,3/25/2026,mandi027,Basmati,HD-2967,47236,Kgs,11
ARR0005385,8/7/2026,MANDI028,कपास,Hybrid,12.677,tonnes,5
ARR0020517,6/2/2026,MANDI026,Gehun,PBW-343,28.492,Tonnes,99
ARR0015213,27.02.2026,mandi005,Paddy,PBW-343,54.32,qtl,122
,2/4/2026,mandi_031,corn,Local,431.25 qtl,,60
ARR0010273,3/6/2026,mandi021,Sarso,,200.26,Qtl,11
ARR0023476,6/5/2026,MANDI023,Sarson,PBW-343,312.23,Qtl,18
ARR0013815,6/8/2026,MANDI009,Makka,HD-2967,27041,Kilo,83
ARR0023287,2/8/2026,MANDI-003,Narma,PBW-343,4.441,MT,127
ARR0016192,7/3/2026,MANDI023,Corn,,455.6,quintal,59
ARR0011823,1/13/2026,MANDI004,Chawal,HD-2967,60.33,qtl,124
