sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent
SEN047,28/08/2026,68,f,43.8,mm,46
SEN034,2026-07-03 07:08:18 IST,85.3,�F,1.88,in,55
SEN020,,18.9,Celsius,19.9,MM,
SEN035,2026-07-09 11:08:41 UTC,71.8,Fahrenheit,0.91,inch,49
SEN048,2026-06-09 13:06:26 IST,39.8�C,,43.9,mm,81
SEN035,17/03/2026,21.8�C,,28.9,MM,47
SEN013,07-01-2026 05:48 PM,75,f,32.4,mm,43
SEN040,2026-06-12 09:52:51 IST,92.5,�F,NA,,92
SEN027,2026-06-02 16:00:04 UTC,22.1,�C,-48.1,mm,36
SEN034,,30.3�C,,NA,,51
SEN031,2026-08-23 07:42:11 IST,16.6,c,32.4,MM,38
SEN045,2026-09-08 14:45:54 UTC,102.2,F,42.1,millimeters,41
SEN011,2026-03-25 23:52:33 UTC,29.9,C,16.2,millimeters,32
SEN004,08-27-2026 04:59 PM,66.9,f,42.3,mm,35
SEN020,2026-02-02 07:59:44 IST,73.2,F,16,millimeters,
SEN026,2026-03-21 12:06:58 UTC,102.4,Fahrenheit,13.7,millimeters,80
SEN020,2026-09-07 16:45:42 IST,67.6,f,-42,mm,39
SEN047,2026-04-09 17:24:04 UTC,29.8,�C,45,MM,53
SEN035,2026-08-30 05:45:31 IST,31.8�C,,-7.3,mm,52
UNKNOWN,2026-07-28T05:02:48,29.1,Celsius,34.3,millimeters,75
SEN032,2026-02-07 08:54:43 UTC,31.3,Celsius,6.2,mm,38
SEN046,2026-02-22 21:45:12 IST,30,Celsius,1.6,mm,86
SEN021,2026-03-10T23:45:39,24.6�C,,-15.9,mm,80
SEN042,2026-04-02 05:04:58 IST,97.9,f,0.23,inches,63
SEN042,,60.3,F,NA,,89
SEN043,2026-03-01 15:38:44 UTC,37.8,C,NA,,44
SEN042,2026-07-07 09:27:47 IST,33.4,C,0.78,in,38
SEN013,2026-05-23 18:27:41 IST,28.3,�C,12.4,MM,56
SEN021,2026-02-25 19:23:43 UTC,28.4�C,,32.5,MM,78
SEN049,2026-04-24 18:47:44 IST,33.6,�C,7.2,millimeters,80
SEN006,2026-01-02 09:31:50 IST,21.7,�C,7.2,millimeters,82
SEN041,,82.8,�F,-26.3,mm,33
SEN035,2026-05-05 03:28:20 UTC,37.6�C,,28.4,mm,48
SEN050,2026-02-09 18:25:06 IST,68.9,F,21.5,millimeters,40
